smiles	zinc_id	tags
COc1cc(O)c2c(=O)cc(-c3ccc(O)c(O)c3)oc2c1[C@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O	ZINC000014618536	endogenous in-man
CC1=C[C@H]2O[C@H]3[C@@H](O)[C@@H](O)[C@@](C)([C@@]34CO4)[C@@]2(CO)C[C@@H]1O	ZINC000100257377	endogenous in-man
CCCC/C=C\CCCCCCCC(=O)OC[C@H](CO[P@@](=O)(O)OCC[N+](C)(C)C)O/C=C\CCCCCCCCCCCCCC	ZINC000085557004	endogenous in-man
CC(C)C1=C(O)C(=O)C2=C(C1=O)[C@H]1C[C@@H]3C(C)(C)CCC[C@@]23C(=O)O1	ZINC000100783622	endogenous in-man
CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCCCCCC/C=C\CCCCCCCC	ZINC000150372044	endogenous in-man
CCCCCCCC/C=C\C/C=C\C/C=C\CCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@@]2(C)[C@H]3CC[C@H]2[C@H](C)CCCC(C)C)C1	ZINC000261499162	endogenous in-man
CN1CC[C@]2([C@]34CCN(C)[C@@H]3Nc3ccccc34)c3ccccc3N[C@@H]12	ZINC000257437520	endogenous in-man
COc1cc(C)nc2ccc(N/C(C)=C3\C(=O)C=C4Oc5c(C(C)=O)c(O)c(C)c(O)c5[C@@]4(C)C3=O)cc12	ZINC000824541251	biogenic
CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCC	ZINC000150363852	endogenous in-man
C[C@]1(C(=O)O)CCC[C@]2(C)[C@@H]3CC[C@@H]4C[C@]3(C=C4CO)CC[C@@H]12	ZINC000100780639	endogenous in-man
COc1c2c(cc3c1[C@@H](C#C[C@]1(C)CCCC(C)(C)O1)[N+](C)(C)CC3)OCO2	ZINC000001280231	biogenic
COc1cc(/C=C/C(=O)O[C@H]2CC[C@@]3(C)C(=CC[C@H]4[C@H]3CC[C@]3(C)[C@H]([C@H](C)CCCC(C)C)CC[C@H]43)C2)ccc1O	ZINC000257398186	endogenous in-man
C[C@H]1O[C@@H](Oc2cc(O)c3c(=O)c(O[C@H]4O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]4O[C@@H]4O[C@H](C)[C@H](O)[C@@H](O)[C@@H]4O)c(-c4ccc(O)cc4)oc3c2)[C@H](O)[C@H](O)[C@@H]1O	ZINC000257403440	endogenous in-man
C[C@@H]1O[C@@H](O[C@H]2[C@@H](O[C@@H]3C[C@@H](O)CC4=CC[C@H]5[C@@H]6C[C@@H]7O[C@]8(CC[C@@H](C)CO8)[C@@H](C)[C@@H]7[C@@]6(C)CC[C@@H]5[C@]43C)O[C@@H](CO)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O	ZINC000253498644	biogenic
CC(C)[C@@H]1N[C@H](C)S[C@@H](C)S1	ZINC000032166964	endogenous in-man
CCCCCCCCCCCCCCCC(=O)C[C@H](O)CCCCCCCCCCCCCCC	ZINC000085914148	endogenous in-man
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@H](O)COC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC	ZINC000095625970	endogenous in-man
CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)OC[C@@H](CO[P@@](=O)(O)OCC[N+](C)(C)C)O/C=C\CCCCCCCCCCCCCC	ZINC000085564337	endogenous in-man
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC	ZINC000150359431	endogenous in-man
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@@H](COC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC	ZINC000261496090	endogenous in-man
C[C@H](S)[C@@H](C)S	ZINC000004501350	endogenous in-man
CC1=C(/C=C/C2=CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CCCC(C)(C)O)[C@H](O)CCC1	ZINC000040164520	endogenous in-man
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCC)CO[P@@](=O)(O)OCCN	ZINC000085564810	endogenous in-man
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O[C@@H](COC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC)COC(=O)CCCCCCCCCCCCCCC	ZINC000095622697	endogenous in-man
COc1ccccc1[C@H]1c2[nH]c3ccccc3c2C[C@H]2C(=O)N(C3CCCCC3)CC(=O)N21	ZINC000002113778	biogenic
C[C@H]1[C@H]2[C@H](C[C@H]3[C@@H]4CC=C5C[C@H](O[C@@H]6O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]6O)CC[C@]5(C)[C@H]4CC[C@@]32C)O[C@@]12CC[C@@H](C)CO2	ZINC000118913856	endogenous in-man
C[C@H](O)CN1CCCC[C@@H]1c1cccnc1	ZINC000000035457	biogenic in-vitro
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC	ZINC000261496082	endogenous in-man
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCCCCCCCC)OC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC	ZINC000150364519	endogenous in-man
