framework_scaffold	count
c1ccccc1	1942
C1CCCCC1	1856
C1CCOCC1	1192
C1CCC=CC1	528
C1CCOC1	438
C1CCNC1	317
c1ccc2c(c1)C=CCO2	315
c1ccc2c(c1)cc[nH]2	297
C1CC[C@H]2[C@@H](C1)CC[C@@H]3[C@@H]2CC[C@H]4[C@H]3CCC4	275
c1ccc(cc1)O[C@H]2CCCCO2	273
C1CO1	252
C1CCCC1	247
C1CCC2=CC[C@H]3[C@@H]4CCC[C@H]4CC[C@@H]3[C@H]2C1	245
C1CC[C@H]2[C@H](C1)CC[C@H]3[C@H]2CC[C@H]4[C@@H]3CCC4	233
c1ccc(cc1)O[C@@H]2CCCCO2	221
c1ccc(cc1)C2=CCc3ccccc3O2	210
c1c2c(ncn1)n(cn2)[C@H]3CCCO3	209
C1C[C@H]2[C@@H](CCCC2)CC1	199
C1C[C@@H](OC1)CCCCCCCCCCCCCC2=CCOC2	198
c1ccoc1	178
c1cnc[nH]1	175
c1ccc(cc1)C2=C(Cc3ccccc3O2)O[C@H]4CCCCO4	152
C1CC[C@@H]2[C@H](C1)CCC3=C2CC[C@H]4[C@@H]3CCC4	151
C1CC[C@@H]2[C@@H](C1)CCC3=C2CC[C@H]4[C@@H]3CCC4	147
C1C=CCO1	147
C1C[C@@H]2[C@@H](CCCC2)CC1	144
c1ccc(cc1)[C@@H]2CCc3ccccc3O2	142
c1ccc2c(c1)CCCO2	141
C1CCO[C@H](C1)CO[C@H]2CCCCO2	132
c1ccc(cc1)C2=C(Cc3ccccc3O2)O[C@@H]4CCCCO4	130
c1ccc(cc1)C2=COc3ccccc3C2	127
C1CCO[C@H](C1)O[C@H]2CCCOC2	126
C1C[C@@H](OC1)[C@@H]2CC[C@@H](O2)CCCCCCCCCCCCCC3=CCOC3	124
C1CC[C@H]2[C@H](C1)CC[C@@H]3[C@@H]2CC[C@H]4[C@H]3CCC4	123
C1CCC2=CC[C@@H]3[C@H]4CCC[C@H]4CC[C@H]3[C@H]2C1	122
C1CC=C2CC[C@H]3[C@@H]4CCC[C@H]4CC[C@@H]3[C@H]2C1	120
