lead_fragment,library_fragment,library_source,similarity,analogue_smiles,docking_score,delta_docking_score
C[*:1],FC[*:1],ZINC000012496510,0.9429,CC(CF)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@H](O)C[C@H](O)CC(=O)O,-6.7,0.0
C[*:1],N[*:1],ZINC000003156382,0.9386,CC(N)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@H](O)C[C@H](O)CC(=O)O,-5.6,1.1000000000000005
C[*:1],FC(F)[*:1],ZINC000217731696,0.9240,CC(c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@H](O)C[C@H](O)CC(=O)O)C(F)F,-5.7,1.0
C[*:1],FC(F)(F)[*:1],ZINC000005399347,0.9051,CC(c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@H](O)C[C@H](O)CC(=O)O)C(F)(F)F,-6.3,0.40000000000000036
C[*:1],O=[N+]([O-])[*:1],ZINC000524731305,0.8963,CC(c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@H](O)C[C@H](O)CC(=O)O)[N+](=O)[O-],-6.8,-0.09999999999999964
CC(C)[*:1],CN(C)[*:1],ZINC000070666542,0.9751,CN(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@H](O)C[C@H](O)CC(=O)O,-6.4,0.2999999999999998
CC(C)[*:1],N[C@H](CO)[*:1],ZINC000005273845,0.9624,CN(c1nc(-c2ccc(F)cc2)c(/C=C/[C@H](O)C[C@H](O)CC(=O)O)c([C@H](N)CO)n1)S(C)(=O)=O,-5.9,0.7999999999999998
CC(C)[*:1],N[C@@H](CO)[*:1],ZINC000005273797,0.9619,CN(c1nc(-c2ccc(F)cc2)c(/C=C/[C@H](O)C[C@H](O)CC(=O)O)c([C@@H](N)CO)n1)S(C)(=O)=O,-5.8,0.9000000000000004
CC(C)[*:1],CC(C)(Cl)[*:1],ZINC000014490904,0.9538,CN(c1nc(-c2ccc(F)cc2)c(/C=C/[C@H](O)C[C@H](O)CC(=O)O)c(C(C)(C)Cl)n1)S(C)(=O)=O,-5.9,0.7999999999999998
CC(C)[*:1],C[N+](C)([O-])[*:1],ZINC000000895523,0.9535,CN(c1nc(-c2ccc(F)cc2)c(/C=C/[C@H](O)C[C@H](O)CC(=O)O)c([N+](C)(C)[O-])n1)S(C)(=O)=O,-7.0,-0.2999999999999998
CN(S(C)(=O)=O)[*:1],C[C@H]1OCC[C@@H]1[*:1],ZINC000004262496,0.9554,CC(C)c1nc([C@H]2CCO[C@@H]2C)nc(-c2ccc(F)cc2)c1/C=C/[C@H](O)C[C@H](O)CC(=O)O,-6.0,0.7000000000000002
CN(S(C)(=O)=O)[*:1],C[C@]1(CO)O[C@H]1[*:1],ZINC000257628120,0.9456,CC(C)c1nc([C@@H]2O[C@]2(C)CO)nc(-c2ccc(F)cc2)c1/C=C/[C@H](O)C[C@H](O)CC(=O)O,-5.8,0.9000000000000004
CN(S(C)(=O)=O)[*:1],C[C@H](C(=O)O)C(=O)[*:1],ZINC000005818690,0.9390,CC(C)c1nc(C(=O)[C@H](C)C(=O)O)nc(-c2ccc(F)cc2)c1/C=C/[C@H](O)C[C@H](O)CC(=O)O,-6.2,0.5
CN(S(C)(=O)=O)[*:1],C[C@@](O)(CO)[C@H](O)[*:1],ZINC000257392417,0.9387,CC(C)c1nc([C@@H](O)[C@](C)(O)CO)nc(-c2ccc(F)cc2)c1/C=C/[C@H](O)C[C@H](O)CC(=O)O,-5.9,0.7999999999999998
CN(S(C)(=O)=O)[*:1],C[C@H](CS)C[*:1],ZINC000003861378,0.9380,CC(C)c1nc(C[C@H](C)CS)nc(-c2ccc(F)cc2)c1/C=C/[C@H](O)C[C@H](O)CC(=O)O,-6.0,0.7000000000000002
Fc1ccc([*:1])cc1,Fc1ccc([*:1])nc1,ZINC000049155361,0.9426,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cn2)c1/C=C/[C@H](O)C[C@H](O)CC(=O)O,-6.0,0.7000000000000002
Fc1ccc([*:1])cc1,C[C@H](O)CC(=O)[*:1],ZINC000257551525,0.9344,CC(C)c1nc(N(C)S(C)(=O)=O)nc(C(=O)C[C@H](C)O)c1/C=C/[C@H](O)C[C@H](O)CC(=O)O,-7.1,-0.39999999999999947
Fc1ccc([*:1])cc1,C[C@@H](O)CC(=O)[*:1],ZINC000257551526,0.9335,CC(C)c1nc(N(C)S(C)(=O)=O)nc(C(=O)C[C@@H](C)O)c1/C=C/[C@H](O)C[C@H](O)CC(=O)O,-7.0,-0.2999999999999998
