fragment_smiles,source_label,n_conformers
C[*:1],ZINC000014618536,1
CO[*:1],ZINC000014618536,1
O[*:1],ZINC000014618536,1
OC[*:1],ZINC000014618536,1
CC(C)[*:1],ZINC000100783622,1
CC(=O)[*:1],ZINC000824541251,1
O=C(O)[*:1],ZINC000100780639,1
CC(C)CCC[*:1],ZINC000257398186,6
CC(C)CC[*:1],ZINC000257398186,3
CC(C)C[*:1],ZINC000257398186,2
C[C@@H](S)[C@@H](S)[*:1],ZINC000004501350,3
C[C@@H](S)[C@H](C)[*:1],ZINC000004501350,3
S[*:1],ZINC000004501350,1
C[C@@H](S)[*:1],ZINC000004501350,1
C[C@H](S)[*:1],ZINC000004501350,1
CC(C)(O)CCC[*:1],ZINC000040164520,8
CC(C)(O)CC[*:1],ZINC000040164520,7
CC(C)(O)C[*:1],ZINC000040164520,3
CC(C)(O)[*:1],ZINC000040164520,1
C1CCC([*:1])CC1,ZINC000002113778,2
C[C@H](O)[*:1],ZINC000000035457,1
C[C@H](O)C[*:1],ZINC000000035457,2
c1cncc([*:1])c1,ZINC000000035457,1
O=C(O)CC[*:1],ZINC000016248854,4
C[C@@H](CCC(=O)O)[*:1],ZINC000016248854,6
O=C(O)C[*:1],ZINC000016248854,1
CC(=O)O[*:1],ZINC000100782111,1
c1cc([*:1])co1,ZINC000100782111,1
COC(=O)C[*:1],ZINC000100782111,2
COC(=O)[*:1],ZINC000100782111,1
c1ccc(C[*:1])cc1,ZINC000229844389,1
c1ccc([*:1])cc1,ZINC000229844389,1
F[*:1],ZINC000065249023,1
O=C(O)/C(O)=C/[*:1],ZINC000024449561,1
Oc1ccc([*:1])cc1,ZINC000024449561,1
O=C[*:1],ZINC000034400106,1
C=C(C)[*:1],ZINC000257393892,1
C=C[*:1],ZINC000015263544,1
C=CC(C)(C)[*:1],ZINC000015263544,1
CC(C)=CC[*:1],ZINC000015263544,2
CC(C)=C[*:1],ZINC000015263544,1
N[*:1],ZINC000003156382,1
CC(C)[C@@H](N)[*:1],ZINC000003156382,3
N=C(N)NCCC[*:1],ZINC000003156382,7
N=C(N)NCC[*:1],ZINC000003156382,4
N=C(N)NC[*:1],ZINC000003156382,3
N=C(N)N[*:1],ZINC000003156382,1
CC[*:1],ZINC000257478194,1
CC/C=C(\C(C)C)[*:1],ZINC000257478194,5
C[C@](Cl)(CO)[*:1],ZINC000014689040,3
Cl[*:1],ZINC000014689040,1
C/C(=C\[*:1])C(=O)O,ZINC000031166636,1
C/C(=C\C[*:1])C(=O)O,ZINC000031166636,2
Cc1ccc([*:1])cc1,ZINC000031166636,1
OCC[*:1],ZINC000004028006,2
C=C(C=O)[*:1],ZINC000085756940,2
CC(=O)/C=C/[*:1],ZINC000253390618,2
CCC[*:1],ZINC000003860906,2
CCCC(=O)O[*:1],ZINC000003860906,4
CCCC(=O)OC[*:1],ZINC000003860906,7
CC/C(C)=C/[*:1],ZINC000015107420,3
CC(=O)O[C@H](C)[*:1],ZINC000015107420,1
NC(=O)C[*:1],ZINC000057448070,3
NC(=O)[*:1],ZINC000057448070,1
COC[*:1],ZINC000409413461,2
COCC[*:1],ZINC000409413461,4
C/C(=C/C[*:1])C(=O)O,ZINC000257407697,2
C/C(=C/[*:1])C(=O)O,ZINC000257407697,1
CC(C)(C)[*:1],ZINC000001841214,1
c1ncc(CC[*:1])o1,ZINC000095620001,3
CCCC[*:1],ZINC000095620001,3
c1ncc(C[*:1])o1,ZINC000095620001,3
CCCCC[*:1],ZINC000095620001,5
c1ncc([*:1])o1,ZINC000095620001,1
C[C@](O)(CC(=O)O)[*:1],ZINC000257416924,5
CCCCCC[*:1],ZINC000253500066,6
